source,id,scientificName,species,decimalLatitude,decimalLongitude,depth,minimumDepthInMeters,maximumDepthInMeters,eventDate,year,country,region,basisOfRecord,datasetKey,datasetName,datasetDOI,publisher,publishingOrgKey,institutionCode,license,license_raw,occurrenceID,qc_flags,usable_mapa
GBIF,6045586134,"Grimpoteuthis G.C.Robson, 1932",,-46.6026,-179.204,3532,3522,3542,2024-02-23,2024,New Zealand,Pacífico Sur,PRESERVED_SPECIMEN,ff2ed94e-45ee-4dde-8e1f-0a4798f61a12,Mollusc collection at Museum of New Zealand Te Papa Tongarewa,10.15468/msce6x,Museum of New Zealand Te Papa Tongarewa,afae4f45-b85e-4a0e-9d93-f30f044e8140,NMNZ,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,tepapa:collection/object/2278404,,si
GBIF,3911890669,"Grimpoteuthis G.C.Robson, 1932",,48.888225,16.76112,4839.5,4838,4841,2022-05-14,2022,Czechia,Atlántico Norte,PRESERVED_SPECIMEN,7e380070-f762-11e1-a439-00145eb45e9a,Natural History Museum (London) Collection Specimens,10.5519/qd.20dz6blc,Natural History Museum,19456090-b49a-11d8-abeb-b8a03c50a862,NHMUK,CC0,http://creativecommons.org/publicdomain/zero/1.0/legalcode,9d24b92d-70a4-428f-b3b2-bfe865e3dc37,en_tierra_probable_signo_longitud_invertido,no
GBIF,3911913740,"Grimpoteuthis discoveryi Collins, 2003",Grimpoteuthis discoveryi,48.886058,16.535058,4842,4840,4844,2022-05-13,2022,Czechia,Atlántico Norte,PRESERVED_SPECIMEN,7e380070-f762-11e1-a439-00145eb45e9a,Natural History Museum (London) Collection Specimens,10.5519/qd.20dz6blc,Natural History Museum,19456090-b49a-11d8-abeb-b8a03c50a862,NHMUK,CC0,http://creativecommons.org/publicdomain/zero/1.0/legalcode,8c3f7f70-b3c0-4dd8-bafa-531a84040f34,en_tierra_probable_signo_longitud_invertido,no
GBIF,4983276117,"Grimpoteuthis abyssicola O'Shea, 1999",Grimpoteuthis abyssicola,-13.2779,96.0683,1527,1459,1595,2022-10-20,2022,Cocos (Keeling) Islands,Océano Índico,PRESERVED_SPECIMEN,39905320-6c8a-11de-8226-b8a03c50a862,IN2022 V08 - Investigating The IOT (part 2),10.15468/lp1ctu,Museums Victoria,4cff2aca-5ce5-4028-88e6-d79b6449173a,NMV,CC0,http://creativecommons.org/publicdomain/zero/1.0/legalcode,93a7f9bb-07a2-4db5-baeb-1c53dac06a31,,si
GBIF,4983278503,"Grimpoteuthis abyssicola O'Shea, 1999",Grimpoteuthis abyssicola,-11.6478,103.64,1403,1355,1451,2022-10-08,2022,Christmas Island,Océano Índico,PRESERVED_SPECIMEN,39905320-6c8a-11de-8226-b8a03c50a862,IN2022 V08 - Investigating The IOT (part 2),10.15468/lp1ctu,Museums Victoria,4cff2aca-5ce5-4028-88e6-d79b6449173a,NMV,CC0,http://creativecommons.org/publicdomain/zero/1.0/legalcode,bc2445ed-ae3e-4342-bb70-002ff3616982,,si
GBIF,6254321346,"Grimpoteuthis imperator A.Ziegler & Sagorny, 2021",Grimpoteuthis imperator,-21.827703,112.067261,,,,2022-11-27,2022,Australia,Océano Índico,PRESERVED_SPECIMEN,d8cd16ba-bb74-4420-821e-083f2bac17c2,INSDC Sequences,10.15468/sbmztx,European Nucleotide Archive (EMBL-EBI),ada9d123-ddb4-467d-8891-806ea8d94230,,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,PZ320051,sin_profundidad,si
GBIF,6447161517,"Grimpoteuthis imperator A.Ziegler & Sagorny, 2021",Grimpoteuthis imperator,-21.827703,112.06726,,,,2022-11-27,2022,Australia,Océano Índico,MATERIAL_SAMPLE,040c5662-da76-4782-a48e-cdea1892d14c,International Barcode of Life project (iBOL),10.15468/inygc6,The International Barcode of Life Consortium,b3bf3a83-1f68-4541-a03f-330d30d567f5,"Mined from GenBank, NCBI",CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,GBABA35934-26,sin_profundidad,si
GBIF,6254245468,"Grimpoteuthis G.C.Robson, 1932",,-22.161804,111.74086,,,,2022-12-16,2022,Australia,Océano Índico,PRESERVED_SPECIMEN,d8cd16ba-bb74-4420-821e-083f2bac17c2,INSDC Sequences,10.15468/sbmztx,European Nucleotide Archive (EMBL-EBI),ada9d123-ddb4-467d-8891-806ea8d94230,,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,PZ320047,sin_profundidad,si
GBIF,6447143441,"Grimpoteuthis G.C.Robson, 1932",,-22.161804,111.74086,,,,2022-12-16,2022,Australia,Océano Índico,MATERIAL_SAMPLE,040c5662-da76-4782-a48e-cdea1892d14c,International Barcode of Life project (iBOL),10.15468/inygc6,The International Barcode of Life Consortium,b3bf3a83-1f68-4541-a03f-330d30d567f5,"Mined from GenBank, NCBI",CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,GBABA36739-26,sin_profundidad,si
GBIF,4892646156,"Grimpoteuthis G.C.Robson, 1932",,-23.8382,111.7409,,,,2022,2022,Australia,Océano Índico,PRESERVED_SPECIMEN,7c93d290-6c8b-11de-8226-b8a03c50a862,Western Australian Museum provider for OZCAM,10.15468/5qt0dm,Western Australian Museum,b36f3505-f2d9-499f-a669-fa418a127b9d,WAM,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,bf850c72-3970-4433-af9a-18f42fe2d24e,sin_profundidad,si
