source,id,scientificName,species,decimalLatitude,decimalLongitude,depth,minimumDepthInMeters,maximumDepthInMeters,eventDate,year,country,region,basisOfRecord,datasetKey,datasetName,datasetDOI,publisher,institutionCode,license,license_raw,occurrenceID,qc_flags,usable_mapa
GBIF,6506088604,"Hydrolagus mirabilis (Collett, 1904)",Hydrolagus mirabilis,55.294,-10.117,513,0,1026,2025-04-16T18:17,2025,Ireland,Atlántico Norte,MATERIAL_SAMPLE,03d14189-f1bc-4ed7-a638-8ece364305ed,DATRAS: ICES Database of trawl surveys,10.15468/6wehak,ICES,396 ,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,468077_86_105826_86_JDT_F_1_1.0000_260_-9_-9_1_2660,profundidad_rango_amplio_>1000m,si
GBIF,6506161616,"Chimaera opalescens Luchetti, Iglésias & Sellos, 2011",Chimaera opalescens,55.294,-10.117,513,0,1026,2025-04-16T18:17,2025,Ireland,Atlántico Norte,MATERIAL_SAMPLE,03d14189-f1bc-4ed7-a638-8ece364305ed,DATRAS: ICES Database of trawl surveys,10.15468/6wehak,ICES,396 ,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,468077_86_712407_86_JDT_M_1_1.0000_540_-9_-9_1_13240,profundidad_rango_amplio_>1000m,si
GBIF,6506235586,"Hydrolagus mirabilis (Collett, 1904)",Hydrolagus mirabilis,55.294,-10.117,513,0,1026,2025-04-16T18:17,2025,Ireland,Atlántico Norte,MATERIAL_SAMPLE,03d14189-f1bc-4ed7-a638-8ece364305ed,DATRAS: ICES Database of trawl surveys,10.15468/6wehak,ICES,396 ,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,468077_86_105826_86_JDT_M_1_1.0000_290_-9_-9_1_2260,profundidad_rango_amplio_>1000m,si
GBIF,6506253594,"Hydrolagus mirabilis (Collett, 1904)",Hydrolagus mirabilis,55.294,-10.117,513,0,1026,2025-04-16T18:17,2025,Ireland,Atlántico Norte,MATERIAL_SAMPLE,03d14189-f1bc-4ed7-a638-8ece364305ed,DATRAS: ICES Database of trawl surveys,10.15468/6wehak,ICES,396 ,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,468077_86_105826_86_JDT_M_1_1.0000_330_-9_-9_1_2260,profundidad_rango_amplio_>1000m,si
GBIF,6506288596,"Chimaera opalescens Luchetti, Iglésias & Sellos, 2011",Chimaera opalescens,55.294,-10.117,513,0,1026,2025-04-16T18:17,2025,Ireland,Atlántico Norte,MATERIAL_SAMPLE,03d14189-f1bc-4ed7-a638-8ece364305ed,DATRAS: ICES Database of trawl surveys,10.15468/6wehak,ICES,396 ,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,468077_86_712407_86_JDT_M_1_1.0000_660_-9_-9_1_13240,profundidad_rango_amplio_>1000m,si
GBIF,6506299581,"Hydrolagus mirabilis (Collett, 1904)",Hydrolagus mirabilis,55.294,-10.117,513,0,1026,2025-04-16T18:17,2025,Ireland,Atlántico Norte,MATERIAL_SAMPLE,03d14189-f1bc-4ed7-a638-8ece364305ed,DATRAS: ICES Database of trawl surveys,10.15468/6wehak,ICES,396 ,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,468077_86_105826_86_JDT_M_1_1.0000_280_-9_-9_1_2260,profundidad_rango_amplio_>1000m,si
GBIF,6506307578,"Chimaera opalescens Luchetti, Iglésias & Sellos, 2011",Chimaera opalescens,55.294,-10.117,513,0,1026,2025-04-16T18:17,2025,Ireland,Atlántico Norte,MATERIAL_SAMPLE,03d14189-f1bc-4ed7-a638-8ece364305ed,DATRAS: ICES Database of trawl surveys,10.15468/6wehak,ICES,396 ,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,468077_86_712407_86_JDT_M_1_1.0000_550_-9_-9_1_13240,profundidad_rango_amplio_>1000m,si
GBIF,6506327567,"Hydrolagus mirabilis (Collett, 1904)",Hydrolagus mirabilis,55.294,-10.117,513,0,1026,2025-04-16T18:17,2025,Ireland,Atlántico Norte,MATERIAL_SAMPLE,03d14189-f1bc-4ed7-a638-8ece364305ed,DATRAS: ICES Database of trawl surveys,10.15468/6wehak,ICES,396 ,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,468077_86_105826_86_JDT_M_1_1.0000_310_-9_-9_1_2260,profundidad_rango_amplio_>1000m,si
GBIF,6506373594,"Hydrolagus mirabilis (Collett, 1904)",Hydrolagus mirabilis,55.294,-10.117,513,0,1026,2025-04-16T18:17,2025,Ireland,Atlántico Norte,MATERIAL_SAMPLE,03d14189-f1bc-4ed7-a638-8ece364305ed,DATRAS: ICES Database of trawl surveys,10.15468/6wehak,ICES,396 ,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,468077_86_105826_86_JDT_F_1_1.0000_300_-9_-9_1_2660,profundidad_rango_amplio_>1000m,si
GBIF,6506428582,"Chimaera opalescens Luchetti, Iglésias & Sellos, 2011",Chimaera opalescens,55.294,-10.117,513,0,1026,2025-04-16T18:17,2025,Ireland,Atlántico Norte,MATERIAL_SAMPLE,03d14189-f1bc-4ed7-a638-8ece364305ed,DATRAS: ICES Database of trawl surveys,10.15468/6wehak,ICES,396 ,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,468077_86_712407_86_JDT_M_1_1.0000_630_-9_-9_1_13240,profundidad_rango_amplio_>1000m,si
