source,id,scientificName,species,decimalLatitude,decimalLongitude,depth,minimumDepthInMeters,maximumDepthInMeters,eventDate,year,country,region,basisOfRecord,datasetKey,datasetName,datasetDOI,publisher,institutionCode,license,license_raw,occurrenceID,qc_flags,usable_mapa
GBIF,6352317080,"Graneledone verrucosa (A.E.Verrill, 1881)",Graneledone verrucosa,63.1875,-60.265717,,,,2026-05-29T23:40,2026,Canada,Atlántico Norte,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,10.15468/ab3s5x,iNaturalist.org,iNaturalist,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,https://www.inaturalist.org/observations/367541817,sin_profundidad,si
GBIF,6045629537,"Graneledone taniwha O'Shea, 1999",Graneledone taniwha,-46.427,170.806,1047.5,1035,1060,2024-02-12,2024,New Zealand,Pacífico Sur,PRESERVED_SPECIMEN,ff2ed94e-45ee-4dde-8e1f-0a4798f61a12,Mollusc collection at Museum of New Zealand Te Papa Tongarewa,10.15468/msce6x,Museum of New Zealand Te Papa Tongarewa,NMNZ,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,tepapa:collection/object/2278398,,si
GBIF,6324258896,"Graneledone taniwha O'Shea, 1999",Graneledone taniwha,-46.426167,170.8085,1047.5,1035,1060,2024-02-12,2024,New Zealand,Pacífico Sur,PRESERVED_SPECIMEN,4d0b1b2a-3209-49ce-bb93-7503e4868019,Earth Sciences New Zealand National Invertebrate Collection (NIC),10.15468/6qgswo,Earth Sciences New Zealand (ESNZ),Earth Sciences New Zealand,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,98bc1ede-e400-4e06-8b69-3ab84e3bde3a,,si
GBIF,6216602408,"Graneledone antarctica G.L.Voss, 1976",Graneledone antarctica,-50.668,74.798,,,,2023-03-30,2023,Heard Island and McDonald Islands,Océano Índico,PRESERVED_SPECIMEN,a79c2b50-6c8a-11de-8226-b8a03c50a862,Queensland Museum provider for OZCAM,10.15468/lotsye,Queensland Museum,QM,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,7f889587-c0a2-4266-995e-49dff3af482a,sin_profundidad,si
GBIF,6257918593,"Graneledone boreopacifica Nesis, 1982",Graneledone boreopacifica,47.29665,-125.273982,1631.49,1631.49,1631.49,2023-04-24T20:10:23,2023,United States of America,Pacífico Norte,MACHINE_OBSERVATION,b7584a87-d359-429c-bc7b-d19ee7b64677,Okeanos Explorer (EX2301): 2023 Shakedown + EXPRESS West Coast Exploration,10.15468/adse9x,NOAA Ocean Exploration,NOAA Ocean Exploration,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,2605cc25-695c-448e-aecc-ef925c943d42,,si
GBIF,6257918739,"Graneledone Joubin, 1918",,46.488969,-125.806985,2528.99,2528.99,2528.99,2023-04-23T17:10:34,2023,United States of America,Pacífico Norte,MACHINE_OBSERVATION,b7584a87-d359-429c-bc7b-d19ee7b64677,Okeanos Explorer (EX2301): 2023 Shakedown + EXPRESS West Coast Exploration,10.15468/adse9x,NOAA Ocean Exploration,NOAA Ocean Exploration,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,9903c439-dbcb-495b-925f-6c7e44c7babe,,si
GBIF,6257919653,"Graneledone boreopacifica Nesis, 1982",Graneledone boreopacifica,47.296411,-125.273834,1650.39,1650.39,1650.39,2023-04-24T19:46:02,2023,United States of America,Pacífico Norte,MACHINE_OBSERVATION,b7584a87-d359-429c-bc7b-d19ee7b64677,Okeanos Explorer (EX2301): 2023 Shakedown + EXPRESS West Coast Exploration,10.15468/adse9x,NOAA Ocean Exploration,NOAA Ocean Exploration,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,da3b807a-d707-43fa-ed61-d3b742eeeb1e,,si
GBIF,6257921839,"Graneledone boreopacifica Nesis, 1982",Graneledone boreopacifica,41.494683,-125.096166,2338.99,2338.99,2338.99,2023-04-20T20:54:52,2023,United States of America,Pacífico Norte,MACHINE_OBSERVATION,b7584a87-d359-429c-bc7b-d19ee7b64677,Okeanos Explorer (EX2301): 2023 Shakedown + EXPRESS West Coast Exploration,10.15468/adse9x,NOAA Ocean Exploration,NOAA Ocean Exploration,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,1ae921f9-5606-4b26-f76b-bfeb8fedeb1e,,si
GBIF,6257923197,"Graneledone boreopacifica Nesis, 1982",Graneledone boreopacifica,47.29698,-125.274479,1591.7,1591.7,1591.7,2023-04-24T22:20:48,2023,United States of America,Pacífico Norte,MACHINE_OBSERVATION,b7584a87-d359-429c-bc7b-d19ee7b64677,Okeanos Explorer (EX2301): 2023 Shakedown + EXPRESS West Coast Exploration,10.15468/adse9x,NOAA Ocean Exploration,NOAA Ocean Exploration,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,f3a0e335-9494-414c-b02c-cb1cbc8b2b1c,,si
GBIF,6257924435,"Graneledone boreopacifica Nesis, 1982",Graneledone boreopacifica,41.494056,-125.097635,2406.34,2406.34,2406.34,2023-04-20T18:05:26,2023,United States of America,Pacífico Norte,MACHINE_OBSERVATION,b7584a87-d359-429c-bc7b-d19ee7b64677,Okeanos Explorer (EX2301): 2023 Shakedown + EXPRESS West Coast Exploration,10.15468/adse9x,NOAA Ocean Exploration,NOAA Ocean Exploration,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,f2931bf9-9124-422e-870b-2c6621e82b0b,,si
